,Team/NOC,Year,Gold,Silver,Bronze,Total
0,United States of America,,39,41,33,113
1,People's Republic of China,,38,32,18,88
2,Japan,,27,14,17,58
3,Great Britain,,22,21,22,65
4,ROC,,20,28,23,71
5,Australia,,17,7,22,46
6,Netherlands,,10,12,14,36
7,France,,10,12,11,33
8,Germany,,10,11,16,37
9,Italy,,10,10,20,40
10,Canada,,7,6,11,24
11,Brazil,,7,6,8,21
12,New Zealand,,7,6,7,20
13,Cuba,,7,3,5,15
14,Hungary,,6,7,7,20
15,Republic of Korea,,6,4,10,20
16,Poland,,4,5,5,14
17,Czech Republic,,4,4,3,11
18,Kenya,,4,4,2,10
19,Norway,,4,2,2,8
20,Jamaica,,4,1,4,9
21,Spain,,3,8,6,17
22,Sweden,,3,6,0,9
23,Switzerland,,3,4,6,13
24,Denmark,,3,4,4,11
25,Croatia,,3,3,2,8
26,Islamic Republic of Iran,,3,2,2,7
27,Serbia,,3,1,5,9
28,Belgium,,3,1,3,7
29,Bulgaria,,3,1,2,6
30,Slovenia,,3,1,1,5
31,Uzbekistan,,3,0,2,5
32,Georgia,,2,5,1,8
33,Chinese Taipei,,2,4,6,12
34,Turkey,,2,2,9,13
35,Greece,,2,1,1,4
36,Uganda,,2,1,1,4
37,Ecuador,,2,1,0,3
38,Ireland,,2,0,2,4
39,Israel,,2,0,2,4
40,Qatar,,2,0,1,3
41,Bahamas,,2,0,0,2
42,Kosovo,,2,0,0,2
43,Ukraine,,1,6,12,19
44,Belarus,,1,3,3,7
45,Romania,,1,3,0,4
46,Venezuela,,1,3,0,4
47,India,,1,2,4,7
48,"Hong Kong, China",,1,2,3,6
49,Philippines,,1,2,1,4
50,Slovakia,,1,2,1,4
51,South Africa,,1,2,0,3
52,Austria,,1,1,5,7
53,Egypt,,1,1,4,6
54,Indonesia,,1,1,3,5
55,Ethiopia,,1,1,2,4
56,Portugal,,1,1,2,4
57,Tunisia,,1,1,0,2
58,Estonia,,1,0,1,2
59,Fiji,,1,0,1,2
60,Latvia,,1,0,1,2
61,Thailand,,1,0,1,2
62,Bermuda,,1,0,0,1
63,Morocco,,1,0,0,1
64,Puerto Rico,,1,0,0,1
65,Colombia,,0,4,1,5
66,Azerbaijan,,0,3,4,7
